,y_code,waste_constituents,annex_8,un_class,annex_3,characteristics,amount,countries_of_transit,country_of_origin,annex_4_a,annex_4_b,country,year
299,Y42,Non-Halogenated Solvents,,3,H3,Flammable,20.94,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
300,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,21.48,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
301,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,16.58,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
302,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,18.22,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
303,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,19.42,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
304,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,18.46,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
305,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,18.28,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
306,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,20.9,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
307,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,16.1,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
308,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,20.04,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
309,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,18.82,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
310,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,18.64,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
311,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,16.36,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
312,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,20.66,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
313,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,18.18,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
314,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,21.2,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
315,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,16.52,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
316,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,20.66,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
317,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,21.46,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
318,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,18.9,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
319,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,18.56,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
320,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,16.56,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
321,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,18.62,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
322,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,17.5,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
323,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,19.42,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
324,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,18.36,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
325,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,18.1,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
326,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,16.7,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
327,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,19.16,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
328,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,17.96,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
329,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,21.02,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
330,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,20.8,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
331,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,19.38,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
